年/月,現金及約當現金,短期投資,應收帳款及票據,存貨,流動資產
200003,315807,900240,2837819,864634,6012898
200006,304800,2026231,3015988,954816,7605480
200009,377998,1240543,3023836,854678,6762695
200012,979142,1633256,3456661,1063899,8097067
200103,111288,109150,3529854,1043998,5431736
200106,401453,404651,4057171,1176206,6724775
200109,447391,2011273,4187233,1283785,8603065
200112,203313,162273,4496620,1371498,8274099
200203,511554,1100273,4403003,1094098,7808205
200206,300438,551273,4705093,1241227,7554961
200209,249705,1894288,4482248,1051569,8891724
200212,400666,2834592,4902232,1189581,10270584
200303,290712,246185,4333845,1052093,6879876
200306,569549,293675,4253723,1381216,8874543
200309,244400,207175,4116140,1352996,7906181
200312,329846,318160,4436726,1315003,6871965
200403,217514,6477723,4740164,1354316,15221867
200406,342464,3593024,4750701,1375203,11487806
200409,586767,3907198,4313177,1748946,11506225
200412,1317902,3915216,4380993,1301221,11605453
200503,1545033,4567306,3908552,1175162,11892617
200506,4888473,2648504,4089512,1105373,14357773
200509,6251793,3863321,4098682,1033275,17275427
200512,4969196,4405355,4572625,1216831,16161691
200603,5171940,4583870,4148855,1467836,16363690
200606,8691630,5179301,3951435,1325298,21485712
200609,2715230,5205539,4726292,1347979,14508240
200612,2917904,5381864,4692608,1569115,14922371
200703,4000811,6282773,4489090,1687579,16854819
200706,4127989,7031813,4024496,1756515,20788592
200709,2092586,8418465,3816841,1757626,16710288
200712,390760,6307671,4575498,1972843,13597448
200803,2602746,5820225,3723724,1435859,14274603
200806,1792111,6311646,4361670,1210539,18722515
200809,1340600,3515847,4270975,1301744,12113617
200812,2234340,3420043,3794500,1851590,12400699
200903,1922307,4047965,3319122,1250347,11635683
200906,2309877,4653393,3446129,1551973,14614138
200909,1494783,4496794,3498446,1589589,11715387
200912,1212157,4615078,3801473,1433560,11540226
201003,4793466,4323705,3655652,1218214,16048037
201006,3162484,3329544,3713183,1470908,14575670
201009,1014688,3594149,3922029,1813507,11195270
201012,12284234,3228417,4291281,1431657,21823810
201103,3815205,2923754,4368129,1263257,13340768
201106,3013794,2705742,4796533,1088695,15809317
201109,1501378,2238906,4547411,1260208,11146903
201112,2036606,2150389,4812584,1364529,11682849
201203,1434007,1848290,4317391,1538541,10096589
201206,6747975,2469550,4403281,1261901,18537684
201209,7266535,1504813,4730189,1250557,16014718
201212,6760699,1403516,4924969,1564459,15642397
201312,1234842,1566470,4567843,1204753,9222934
201412,744405,1526521,4604866,1494352,8915096
201512,1235072,1183447,4198266,1616092,8696661
